Governorate,Delegation,Locality,Nature,Type of Real Estate,Surface,Price,Inserted On
Tunis,Bab Bhar,Bab Bhar,Offices & Shops,Office,168.0,2300.0,04/12/2023
Ariana,La Soukra,La Soukra,Sale,Duplex,209.0,880000.0,20/09/2023
Sfax,Sfax Sud,Sfax Sud,Rental,Houses,360.0,1300.0,08/09/2023
Nabeul,Hammamet,Hammamet,Sale,Houses,290.0,950000.0,06/10/2023
Nabeul,Hammamet,Hammamet,Sale,Houses,200.0,135000.0,17/02/2023
Tunis,Sidi Hassine,Sidi Hassine,Sale,Houses,109.0,130000.0,30/10/2023
Nabeul,Hammamet,Hammamet,Rental,3-room apartment,100.0,1700.0,12/10/2023
Bizerte,Bizerte Sud,Bizerte Sud,Rental,Houses,300.0,4000.0,02/09/2023
Tunis,Ain Zaghouan,Ain Zaghouan,Rental,3-room apartment,145.0,1650.0,12/10/2023
Ariana,Ariana Ville,Ariana Ville,Sale,Houses,410.0,650000.0,21/11/2023
Tunis,El Menzah,El Menzah,Sale,Other,24.0,60000.0,06/10/2023
Tunis,La Marsa,La Marsa,Rental,4-room apartment,180.0,2100.0,27/07/2023
Nabeul,Hammamet,Hammamet,Sale,Houses,420.0,1500000.0,31/10/2023
Tunis,La Marsa,La Marsa,Offices & Shops,Office,980.0,19600.0,08/04/2021
Ariana,Ariana Ville,Ariana Ville,Rental,2-room apartment,80.0,1200.0,07/09/2023
Nabeul,Soliman,Soliman,Sale,Surfaces,112.0,540000.0,27/10/2023
Nabeul,Kelibia,Kelibia,Rental,Houses,180.0,200.0,29/10/2023
Tunis,El Menzah,El Menzah,Rental,3-room apartment,120.0,1100.0,14/11/2023
Tunis,El Menzah,El Menzah,Sale,Houses,600.0,2400000.0,12/10/2023
Mahdia,Mahdia,Mahdia,Rental,2-room apartment,55.0,1000.0,22/06/2021
Tunis,La Marsa,La Marsa,Rental,Houses,40.0,350.0,27/11/2023
Ariana,La Soukra,La Soukra,Sale,4-room apartment,121.0,270000.0,14/07/2023
Nabeul,Hammamet,Hammamet,Sale,Houses,840.0,290000.0,11/02/2023
Nabeul,Hammamet,Hammamet,Sale,Houses,350.0,1300000.0,18/11/2023
Sousse,Hammam Sousse,Hammam Sousse,Land,Vacant land,270.0,244000.0,11/01/2023
Sousse,Hergla,Hergla,Land,Agricultural land,3500.0,245000.0,18/10/2022
Ariana,Mnihla,Mnihla,Rental,2-room apartment,75.0,850.0,04/10/2023
Tunis,Le Bardo,Le Bardo,Rental,2-room apartment,70.0,450.0,07/11/2023
Ariana,Ariana Ville,Ariana Ville,Sale,3-room apartment,208.0,559000.0,18/11/2023
Ariana,Ariana Ville,Ariana Ville,Rental,3-room apartment,100.0,1250.0,20/11/2023
Nabeul,Nabeul,Nabeul,Land,Vacant land,4000.0,60000.0,16/10/2023
Ariana,Raoued,Raoued,Land,Vacant land,530.0,380000.0,03/09/2023
Medenine,Djerba - Houmet Essouk,Djerba - Houmet Essouk,Land,Vacant land,3120.0,380000.0,29/11/2022
Tunis,La Marsa,La Marsa,Rental,Houses,360.0,3500.0,23/02/2023
Nabeul,Nabeul,Nabeul,Sale,Houses,1539.0,280000.0,16/10/2023
Nabeul,Hammamet,Hammamet,Rental,2-room apartment,100.0,750.0,11/09/2023
Ariana,Ariana Ville,Ariana Ville,Land,Vacant land,500.0,600000.0,30/11/2023
Tunis,La Marsa,La Marsa,Offices & Shops,Business property,100.0,100000.0,14/09/2023
Ariana,Ariana Ville,Ariana Ville,Rental,4-room apartment,220.0,1500.0,14/11/2023
Ariana,Ariana Ville,Ariana Ville,Sale,Duplex,140.0,370000.0,30/08/2023
Tunis,Ezzouhour (Tunis),Ezzouhour (Tunis),Rental,3-room apartment,100.0,410.0,04/06/2023
Nabeul,Hammamet,Hammamet,Sale,Houses,500.0,1000000.0,15/11/2023
Ben arous,Mohamadia,Mohamadia,Land,Agricultural land,1000.0,60000.0,18/05/2023
Tunis,El Kram,El Kram,Rental,1-room apartment,50.0,600.0,16/10/2023
Ariana,Mnihla,Mnihla,Rental,3-room apartment,80.0,1300.0,26/11/2023
Tunis,Bab Bhar,Bab Bhar,Sale,3-room apartment,68.0,170000.0,08/07/2023
Nabeul,Hammamet,Hammamet,Sale,Houses,420.0,1500000.0,28/11/2023
Tunis,La Marsa,La Marsa,Rental,2-room apartment,120.0,2100.0,23/10/2023
Tunis,Bab Bhar,Bab Bhar,Offices & Shops,Other,70.0,300000.0,15/06/2023
Sousse,Hammam Sousse,Hammam Sousse,Rental,5-room apartment and more,300.0,3500.0,05/10/2023
Nabeul,Hammamet,Hammamet,Sale,Houses,450.0,1520000.0,26/10/2023
Tunis,La Marsa,La Marsa,Rental,2-room apartment,120.0,1100.0,27/11/2023
Ben arous,Hammam Chatt,Hammam Chatt,Rental,4-room apartment,200.0,780.0,04/12/2023
Sousse,Hergla,Hergla,Land,Vacant land,410.0,328000.0,01/12/2023
Tunis,La Marsa,La Marsa,Rental,1-room apartment,60.0,450.0,30/11/2023
Nabeul,Hammamet,Hammamet,Sale,Houses,302.0,920000.0,29/09/2023
Tunis,Le Bardo,Le Bardo,Sale,Houses,710.0,860000.0,08/09/2023
Tunis,Cite El Khadra,Cite El Khadra,Offices & Shops,Office,220.0,2000.0,18/04/2022
Nabeul,Hammamet,Hammamet,Sale,Houses,287.0,920000.0,07/09/2023
Nabeul,Beni Khiar,Beni Khiar,Land,Vacant land,580.0,21000.0,14/10/2023
Tunis,Sidi El Bechir,Sidi El Bechir,Rental,2-room apartment,80.0,600.0,06/09/2023
Ariana,Ariana Ville,Ariana Ville,Rental,Houses,220.0,1500.0,30/08/2023
Nabeul,Hammamet,Hammamet,Sale,Houses,200.0,750000.0,27/10/2023
Nabeul,Hammam El Ghezaz,Hammam El Ghezaz,Land,Vacant land,370.0,115000.0,30/09/2023
Nabeul,Hammamet,Hammamet,Rental,Houses,300.0,2000.0,22/11/2023
Nabeul,Hammamet,Hammamet,Land,Vacant land,800.0,270000.0,24/04/2023
Sousse,Hammam Sousse,Hammam Sousse,Sale,2-room apartment,51.0,160000.0,24/11/2023
Ariana,La Soukra,La Soukra,Sale,4-room apartment,154.0,350000.0,27/03/2023
Ariana,Raoued,Raoued,Sale,Houses,500.0,880000.0,30/10/2023
Tunis,El Menzah,El Menzah,Sale,4-room apartment,109.0,240000.0,19/11/2023
Ben arous,Megrine,Megrine,Rental,4-room apartment,150.0,1200.0,17/10/2023
Ariana,La Soukra,La Soukra,Rental,3-room apartment,135.0,1400.0,18/11/2023
Nabeul,Hammam El Ghezaz,Hammam El Ghezaz,Sale,Houses,500.0,320000.0,30/11/2023
Manouba,Mannouba,Mannouba,Rental,4-room apartment,150.0,900.0,16/10/2023
Tunis,Bab Bhar,Bab Bhar,Rental,2-room apartment,70.0,400.0,20/11/2023
Ben arous,Nouvelle Medina,Nouvelle Medina,Sale,4-room apartment,100.0,185000.0,22/09/2023
Tunis,La Marsa,La Marsa,Sale,Houses,660.0,2400000.0,12/01/2023
Tunis,Bab Bhar,Bab Bhar,Rental,2-room apartment,1.0,750.0,29/11/2023
Ben arous,Mornag,Mornag,Sale,Houses,333.0,950000.0,16/09/2023
Tunis,Ain Zaghouan,Ain Zaghouan,Rental,3-room apartment,1.0,2300.0,18/10/2023
Nabeul,Hammamet,Hammamet,Sale,Houses,636.0,2250000.0,28/11/2023
Bizerte,Bizerte Nord,Bizerte Nord,Sale,Houses,160.0,160000.0,21/10/2023
Nabeul,Hammamet,Hammamet,Sale,Other,320.0,590000.0,20/09/2023
Manouba,Mannouba,Mannouba,Rental,Other,210.0,1500.0,02/01/2023
Nabeul,Nabeul,Nabeul,Rental,4-room apartment,90.0,450.0,02/11/2023
Nabeul,Hammamet,Hammamet,Sale,Houses,300.0,450000.0,23/10/2023
Tunis,Le Bardo,Le Bardo,Rental,3-room apartment,80.0,800.0,30/11/2023
Ariana,La Soukra,La Soukra,Offices & Shops,Office,1800.0,18000.0,27/04/2022
Tunis,Le Bardo,Le Bardo,Rental,3-room apartment,110.0,480.0,03/11/2023
Mahdia,Mahdia,Mahdia,Sale,3-room apartment,137.0,340000.0,09/11/2023
Tunis,Sidi El Bechir,Sidi El Bechir,Offices & Shops,Other,90.0,1000.0,16/10/2023
Bizerte,Bizerte Nord,Bizerte Nord,Rental,2-room apartment,170.0,180.0,23/11/2023
Manouba,Mannouba,Mannouba,Rental,2-room apartment,50.0,1000.0,07/09/2023
Ariana,Raoued,Raoued,Sale,Houses,600.0,550000.0,21/11/2023
Ariana,Ariana Ville,Ariana Ville,Rental,2-room apartment,90.0,1300.0,15/10/2023
Nabeul,Hammamet,Hammamet,Sale,Houses,270.0,840000.0,09/09/2023
Tunis,La Marsa,La Marsa,Offices & Shops,Surfaces,130.0,3500.0,13/09/2023
Ben arous,El Mourouj,El Mourouj,Sale,2-room apartment,80.0,110000.0,28/11/2023
Nabeul,Hammamet,Hammamet,Sale,Houses,800.0,760000.0,06/10/2023
Tunis,Bab Bhar,Bab Bhar,Rental,3-room apartment,80.0,1200.0,26/09/2023
Ariana,Mnihla,Mnihla,Land,Vacant land,959.0,719250.0,16/01/2023
Tunis,La Marsa,La Marsa,Offices & Shops,Other,50.0,1300.0,03/03/2022
Nabeul,Kelibia,Kelibia,Sale,Houses,271.0,320000.0,09/03/2023
Sousse,Akouda,Akouda,Land,Vacant land,342.0,256500.0,25/08/2023
Manouba,Mannouba,Mannouba,Offices & Shops,Office,20.0,1500.0,25/12/2022
Ben arous,Rades,Rades,Rental,Houses,200.0,450.0,25/08/2023
Tunis,El Menzah,El Menzah,Sale,3-room apartment,100.0,250000.0,06/11/2023
Nabeul,Kelibia,Kelibia,Sale,Houses,150.0,180000.0,12/10/2023
Ariana,Mnihla,Mnihla,Sale,1-room apartment,65.0,180000.0,10/10/2023
Tunis,Carthage,Carthage,Sale,Houses,1600.0,6800000.0,01/09/2023
Ariana,La Soukra,La Soukra,Sale,2-room apartment,120.0,350000.0,04/01/2023
Sousse,Hammam Sousse,Hammam Sousse,Rental,3-room apartment,100.0,1400.0,16/08/2023
Mahdia,Mahdia,Mahdia,Sale,2-room apartment,80.0,190000.0,13/11/2023
Sfax,Sfax Ville,Sfax Ville,Rental,3-room apartment,114.0,1100.0,31/10/2023
Tunis,El Menzah,El Menzah,Rental,Houses,450.0,6500.0,24/10/2023
Ben arous,Bou Mhel El Bassatine,Bou Mhel El Bassatine,Sale,Other,457.0,342000.0,15/03/2023
Nabeul,Nabeul,Nabeul,Land,Vacant land,162.0,60000.0,22/09/2023
Nabeul,Hammamet,Hammamet,Sale,3-room apartment,145.0,650000.0,14/09/2023
Tunis,Ain Zaghouan,Ain Zaghouan,Rental,3-room apartment,150.0,2200.0,20/11/2023
Tunis,La Marsa,La Marsa,Sale,2-room apartment,60.0,178000.0,21/10/2023
Ariana,Ariana Ville,Ariana Ville,Rental,3-room apartment,150.0,1250.0,01/11/2023
Siliana,Siliana Sud,Siliana Sud,Sale,Houses,500.0,440000.0,29/10/2023
Ben arous,Nouvelle Medina,Nouvelle Medina,Rental,2-room apartment,90.0,800.0,24/11/2023
Tunis,El Menzah,El Menzah,Sale,Houses,150280.0,1100000.0,28/10/2023
Tunis,Bab Bhar,Bab Bhar,Rental,4-room apartment,1.0,850.0,29/11/2023
Nabeul,Kelibia,Kelibia,Sale,Surfaces,200.0,60000.0,20/10/2023
Nabeul,Kelibia,Kelibia,Vacation rental,2-room apartment,100.0,2800.0,05/05/2023
Tunis,La Marsa,La Marsa,Land,Vacant land,747.0,3361500.0,02/11/2023
Nabeul,Kelibia,Kelibia,Sale,Houses,300.0,420000.0,28/03/2023
Gabes,Gabes Sud,Gabes Sud,Sale,Surfaces,380.0,330000.0,07/10/2023
Tunis,Bab Bhar,Bab Bhar,Rental,Other,2200.0,25000.0,02/10/2023
Nabeul,Hammamet,Hammamet,Sale,Houses,636.0,2000000.0,07/11/2023
Tunis,Sidi El Bechir,Sidi El Bechir,Sale,Houses,215.0,170000.0,19/09/2022
Tunis,Ain Zaghouan,Ain Zaghouan,Rental,4-room apartment,125.0,1650.0,01/10/2023
Nabeul,Hammamet,Hammamet,Sale,2-room apartment,80.0,170000.0,24/03/2022
Ariana,Ariana Ville,Ariana Ville,Rental,1-room apartment,35.0,550.0,02/12/2023
Sousse,Hammam Sousse,Hammam Sousse,Land,Vacant land,900.0,810000.0,03/10/2022
Ben arous,Ezzahra,Ezzahra,Rental,3-room apartment,70.0,1500.0,18/10/2023
Nabeul,Hammamet,Hammamet,Sale,Houses,600.0,420000.0,19/09/2023
Ben arous,Hammam Chatt,Hammam Chatt,Rental,2-room apartment,80.0,700.0,29/08/2023
Ariana,Ariana Ville,Ariana Ville,Sale,Houses,826.0,1600000.0,23/01/2023
Nabeul,Beni Khiar,Beni Khiar,Land,Vacant land,313.0,172000.0,11/09/2023
Ben arous,El Mourouj,El Mourouj,Sale,4-room apartment,110.0,218000.0,04/12/2023
Ben arous,Hammam Chatt,Hammam Chatt,Offices & Shops,Free management,40.0,2000.0,24/08/2023
Sousse,Kalaa Essghira,Kalaa Essghira,Land,Vacant land,33000.0,180000.0,02/11/2022
Tunis,Bab Bhar,Bab Bhar,Rental,4-room apartment,90.0,1100.0,07/11/2023
Nabeul,Hammamet,Hammamet,Sale,Other,2582.0,1032888.0,19/10/2021
Nabeul,Kelibia,Kelibia,Sale,Surfaces,500.0,100000.0,21/10/2023
Ariana,Raoued,Raoued,Land,Vacant land,600.0,350000.0,26/10/2023
Sousse,Sousse Riadh,Sousse Riadh,Land,Vacant land,361.0,120000.0,01/04/2021
Ariana,Ariana Ville,Ariana Ville,Rental,4-room apartment,160.0,1800.0,28/11/2023
Ariana,La Soukra,La Soukra,Sale,3-room apartment,116.0,320000.0,13/06/2023
Tunis,Bab Bhar,Bab Bhar,Offices & Shops,Office,760.0,17100.0,27/04/2023
Ariana,La Soukra,La Soukra,Rental,3-room apartment,400.0,1200.0,10/11/2023
Tunis,Bab Bhar,Bab Bhar,Sale,2-room apartment,42.0,70000.0,07/10/2023
Tunis,El Kram,El Kram,Rental,2-room apartment,50.0,900.0,17/11/2023
Tunis,El Menzah,El Menzah,Sale,4-room apartment,170.0,450000.0,16/09/2023
Ben arous,Megrine,Megrine,Rental,Surfaces,15440.0,38600.0,23/08/2023
Tunis,Bab Bhar,Bab Bhar,Offices & Shops,Surfaces,28.0,65000.0,23/09/2023
Ben arous,El Mourouj,El Mourouj,Sale,2-room apartment,113.0,220000.0,26/07/2023
Bizerte,Bizerte Nord,Bizerte Nord,Vacation rental,2-room apartment,90.0,300.0,20/08/2023
Nabeul,Beni Khiar,Beni Khiar,Sale,Houses,50000.0,2000000.0,11/09/2023
Ben arous,El Mourouj,El Mourouj,Sale,2-room apartment,75.0,145000.0,30/10/2023
Nabeul,Hammamet,Hammamet,Rental,Houses,250.0,4000.0,03/08/2023
Tunis,La Marsa,La Marsa,Offices & Shops,Surfaces,180.0,5400.0,08/11/2023
Tunis,Carthage,Carthage,Sale,Duplex,105.0,480000.0,23/10/2023
Nabeul,Hammamet,Hammamet,Rental,Houses,400.0,4000.0,13/09/2023
Nabeul,Hammamet,Hammamet,Rental,3-room apartment,100.0,900.0,18/10/2023
Tunis,Ain Zaghouan,Ain Zaghouan,Rental,3-room apartment,100.0,1200.0,20/10/2023
Tunis,El Omrane Superieur,El Omrane Superieur,Sale,2-room apartment,75.0,100000.0,03/10/2023
Mahdia,Mahdia,Mahdia,Sale,Houses,1800.0,2700000.0,17/06/2023
Ben arous,Nouvelle Medina,Nouvelle Medina,Offices & Shops,Surfaces,185.0,462500.0,30/10/2023
Ariana,Ariana Ville,Ariana Ville,Sale,Houses,350.0,850000.0,23/09/2023
Tunis,La Marsa,La Marsa,Rental,Houses,260.0,4200.0,21/09/2023
Tunis,Bab Bhar,Bab Bhar,Rental,4-room apartment,100.0,2000.0,20/11/2023
Nabeul,Kelibia,Kelibia,Vacation rental,Houses,100.0,280.0,14/08/2020
Ben arous,El Mourouj,El Mourouj,Sale,Houses,215.0,580000.0,01/10/2023
Tunis,El Menzah,El Menzah,Rental,3-room apartment,200.0,1550.0,02/10/2023
Nabeul,Hammamet,Hammamet,Land,Vacant land,3000.0,2400000.0,16/11/2023
Sousse,Sousse Ville,Sousse Ville,Land,Vacant land,560.0,700000.0,19/10/2023
Sousse,Kalaa El Kebira,Kalaa El Kebira,Land,Vacant land,627.0,136000.0,18/09/2023
Nabeul,Hammamet,Hammamet,Rental,Houses,300.0,3000.0,16/09/2023
Ariana,Mnihla,Mnihla,Land,Vacant land,438.0,525600.0,07/10/2023
Tunis,La Marsa,La Marsa,Rental,Duplex,190.0,3000.0,23/02/2023
Tunis,Ain Zaghouan,Ain Zaghouan,Sale,4-room apartment,148.0,300000.0,20/10/2023
Ariana,La Soukra,La Soukra,Rental,4-room apartment,250.0,900.0,17/11/2023
Ariana,La Soukra,La Soukra,Offices & Shops,Office,300.0,4200.0,05/12/2022
Tunis,El Menzah,El Menzah,Rental,3-room apartment,100.0,950.0,10/10/2023
Nabeul,El Haouaria,El Haouaria,Sale,Houses,120.0,150000.0,18/07/2023
Tunis,Bab Bhar,Bab Bhar,Rental,2-room apartment,1.0,750.0,04/12/2023
Nabeul,Kelibia,Kelibia,Sale,Houses,160.0,240000.0,21/10/2023
Nabeul,Kelibia,Kelibia,Sale,3-room apartment,80.0,110000.0,21/10/2023
Nabeul,Hammamet,Hammamet,Sale,Houses,310.0,1000000.0,25/09/2023
Tunis,Ain Zaghouan,Ain Zaghouan,Rental,2-room apartment,90.0,1300.0,23/11/2023
Sfax,Bir Ali Ben Khelifa,Bir Ali Ben Khelifa,Land,Agricultural land,4200000.0,13000000.0,10/08/2023
Nabeul,Hammamet,Hammamet,Sale,Houses,300.0,750000.0,28/11/2023
Ariana,La Soukra,La Soukra,Sale,4-room apartment,113.0,400000.0,13/10/2023
Tunis,Cite El Khadra,Cite El Khadra,Sale,Duplex,500.0,700000.0,02/11/2023
Sousse,Sousse Jaouhara,Sousse Jaouhara,Land,Vacant land,2767.0,2490300.0,23/01/2023
Tunis,Ain Zaghouan,Ain Zaghouan,Rental,2-room apartment,1.0,1100.0,23/02/2023
Nabeul,Hammamet,Hammamet,Rental,Duplex,250.0,2100.0,30/10/2023
Nabeul,Beni Khiar,Beni Khiar,Land,Vacant land,313.0,172000.0,18/11/2023
Ariana,Mnihla,Mnihla,Land,Vacant land,318.0,254400.0,09/06/2023
Tunis,La Marsa,La Marsa,Rental,Houses,200.0,3500.0,02/11/2023
Tunis,Bab Bhar,Bab Bhar,Rental,3-room apartment,1.0,1200.0,15/11/2023
Nabeul,Hammamet,Hammamet,Sale,Houses,320.0,850000.0,03/10/2023
Sousse,Sousse Jaouhara,Sousse Jaouhara,Land,Vacant land,8123.0,3086740.0,19/02/2015
Ariana,Mnihla,Mnihla,Sale,Duplex,200.0,280000.0,13/11/2023
Tunis,La Marsa,La Marsa,Rental,1-room apartment,30.0,700.0,05/10/2023
Ariana,La Soukra,La Soukra,Land,Vacant land,30000.0,2400000.0,10/11/2023
Ben arous,Hammam Chatt,Hammam Chatt,Rental,5-room apartment and more,220.0,999.0,08/08/2023
Sousse,Bou Ficha,Bou Ficha,Land,Vacant land,1000.0,120000.0,02/05/2019
Ben arous,Nouvelle Medina,Nouvelle Medina,Sale,4-room apartment,98.0,178000.0,28/11/2023
Nabeul,Hammamet,Hammamet,Sale,1-room apartment,1.0,1478520.0,30/01/2023
Nabeul,El Haouaria,El Haouaria,Rental,1-room apartment,120.0,840.0,09/10/2023
Bizerte,Bizerte Nord,Bizerte Nord,Land,Vacant land,1070.0,267500.0,05/08/2023
Tunis,Bab Bhar,Bab Bhar,Rental,3-room apartment,1.0,650.0,14/11/2023
Ariana,Ariana Ville,Ariana Ville,Sale,4-room apartment,169.0,465000.0,05/12/2023
Ariana,Raoued,Raoued,Land,Vacant land,200.0,70000.0,14/10/2023
Tunis,El Menzah,El Menzah,Rental,Duplex,170.0,2400.0,15/11/2023
Ariana,Ariana Ville,Ariana Ville,Rental,2-room apartment,55.0,600.0,02/10/2023
Ben arous,Mornag,Mornag,Land,Agricultural land,130000.0,950000.0,18/11/2023
Ariana,Raoued,Raoued,Rental,2-room apartment,100.0,630.0,08/10/2023
Nabeul,Hammamet,Hammamet,Sale,Houses,636.0,2000000.0,16/09/2023
Tunis,La Marsa,La Marsa,Rental,Houses,168.0,2500.0,06/11/2023
Tunis,Cite El Khadra,Cite El Khadra,Vacation rental,3-room apartment,67.0,2500.0,16/11/2020
Tunis,Bab Bhar,Bab Bhar,Sale,3-room apartment,80.0,175000.0,04/10/2023
Gabes,Gabes Sud,Gabes Sud,Rental,4-room apartment,420.0,520.0,29/11/2023
Nabeul,Korba,Korba,Vacation rental,Houses,120.0,200.0,11/05/2023
Nabeul,Hammamet,Hammamet,Sale,Houses,350.0,1300000.0,11/09/2023
Manouba,Tebourba,Tebourba,Land,Agricultural land,670000.0,268000.0,20/11/2023
Tunis,El Menzah,El Menzah,Rental,3-room apartment,180.0,1800.0,27/10/2023
Ariana,La Soukra,La Soukra,Rental,3-room apartment,150.0,1350.0,02/11/2023
Beja,Teboursouk,Teboursouk,Land,Agricultural land,5000.0,130000.0,20/10/2023
Ariana,Ariana Ville,Ariana Ville,Vacation rental,2-room apartment,65.0,1800.0,22/07/2021
Ben arous,Megrine,Megrine,Rental,1-room apartment,50.0,1500.0,11/10/2023
Nabeul,Hammamet,Hammamet,Sale,Houses,2800.0,1450000.0,20/03/2023
Tunis,Le Bardo,Le Bardo,Sale,1-room apartment,55.0,63000.0,23/06/2023
Ariana,La Soukra,La Soukra,Rental,1-room apartment,56.0,800.0,01/11/2023
Tunis,Bab Bhar,Bab Bhar,Offices & Shops,Office,120.0,1500.0,08/11/2023
Bizerte,Bizerte Nord,Bizerte Nord,Rental,Houses,246.0,600.0,11/09/2023
Tunis,El Menzah,El Menzah,Offices & Shops,Office,500.0,8500.0,12/08/2023
Ariana,La Soukra,La Soukra,Offices & Shops,Surfaces,200.0,5500.0,15/12/2022
Ariana,La Soukra,La Soukra,Sale,Surfaces,300.0,210000.0,24/11/2023
Nabeul,Hammamet,Hammamet,Sale,Houses,420.0,1500000.0,30/11/2023
Nabeul,Kelibia,Kelibia,Sale,Houses,369.0,200000.0,20/10/2023
Nabeul,Dar Chaabane Elfehri,Dar Chaabane Elfehri,Land,Vacant land,275.0,300000.0,21/08/2022
Tunis,El Menzah,El Menzah,Land,Vacant land,682.0,1500000.0,01/12/2022
Nabeul,Hammamet,Hammamet,Sale,Houses,320.0,1250000.0,20/10/2023
Tunis,Ain Zaghouan,Ain Zaghouan,Rental,4-room apartment,1.0,2400.0,06/04/2023
Nabeul,Korba,Korba,Land,Vacant land,4200.0,3150000.0,12/05/2023
Tunis,Ain Zaghouan,Ain Zaghouan,Rental,2-room apartment,1.0,1900.0,11/08/2023
Bizerte,Bizerte Nord,Bizerte Nord,Sale,4-room apartment,120.0,255000.0,18/09/2023
Nabeul,Kelibia,Kelibia,Rental,3-room apartment,125.0,640.0,15/06/2023
Ariana,Raoued,Raoued,Sale,Surfaces,234.0,270000.0,11/07/2023
Nabeul,Hammamet,Hammamet,Sale,Houses,500.0,1000000.0,24/10/2023
Ben arous,Mornag,Mornag,Sale,Houses,465.0,399000.0,30/07/2023
Tunis,Bab Bhar,Bab Bhar,Offices & Shops,Other,87.0,150000.0,14/12/2022
Tunis,La Marsa,La Marsa,Rental,2-room apartment,70.0,1200.0,21/11/2023
Tunis,La Marsa,La Marsa,Rental,Other,155.0,2945.0,17/11/2021
Ariana,Kalaat Landlous,Kalaat Landlous,Sale,Other,610.0,743000.0,21/10/2023
Ariana,Mnihla,Mnihla,Rental,3-room apartment,110.0,1500.0,31/07/2023
Ariana,Raoued,Raoued,Sale,Houses,150.0,225000.0,03/08/2021
Nabeul,Hammamet,Hammamet,Rental,Houses,400.0,2000.0,20/11/2023
Ben arous,Megrine,Megrine,Rental,Surfaces,40.0,2200.0,04/12/2023
Nabeul,Hammam El Ghezaz,Hammam El Ghezaz,Sale,Surfaces,180.0,90000.0,22/10/2023
Sfax,Sfax Ville,Sfax Ville,Sale,Houses,1600.0,550000.0,02/11/2023
Ariana,Ariana Ville,Ariana Ville,Sale,Surfaces,3470.0,4164000.0,25/04/2023
Medenine,Djerba - Houmet Essouk,Djerba - Houmet Essouk,Rental,3-room apartment,115.0,550.0,10/10/2023
Ariana,Mnihla,Mnihla,Rental,Surfaces,36.0,1500.0,25/08/2023
Ariana,La Soukra,La Soukra,Sale,Surfaces,577.0,970000.0,27/01/2022
Tunis,Ain Zaghouan,Ain Zaghouan,Offices & Shops,Office,115.0,377000.0,17/05/2023
Tunis,Ain Zaghouan,Ain Zaghouan,Rental,3-room apartment,20.0,450.0,13/09/2023
Sousse,Akouda,Akouda,Sale,Houses,385.0,550000.0,09/11/2022
Nabeul,Hammamet,Hammamet,Sale,Houses,260.0,950000.0,10/11/2023
Nabeul,El Haouaria,El Haouaria,Sale,Houses,826.0,125000.0,10/06/2023
Ariana,La Soukra,La Soukra,Sale,Duplex,145.0,350000.0,13/03/2023
Nabeul,El Haouaria,El Haouaria,Vacation rental,Houses,120.0,135.0,28/06/2021
Sousse,Sousse Riadh,Sousse Riadh,Land,Vacant land,267.0,90000.0,15/05/2023
Ariana,La Soukra,La Soukra,Sale,Surfaces,84.0,60000.0,18/11/2023
Nabeul,Kelibia,Kelibia,Sale,1-room apartment,90.0,155000.0,14/05/2023
Tunis,La Marsa,La Marsa,Rental,3-room apartment,1.0,2500.0,25/04/2023
Nabeul,Beni Khiar,Beni Khiar,Sale,Houses,386.0,280000.0,28/09/2023
Ben arous,Ben Arous,Ben Arous,Offices & Shops,Office,86.0,189000.0,08/09/2023
Ben arous,El Mourouj,El Mourouj,Rental,Houses,75.0,850.0,15/11/2023
Ariana,Mnihla,Mnihla,Rental,4-room apartment,150.0,1500.0,09/11/2023
Tunis,Bab Bhar,Bab Bhar,Offices & Shops,Office,80.0,2900.0,15/05/2023
Nabeul,Kelibia,Kelibia,Sale,Duplex,953.0,428850.0,09/07/2023
Sousse,Akouda,Akouda,Sale,3-room apartment,141.0,450000.0,04/09/2022
Tunis,La Marsa,La Marsa,Rental,1-room apartment,55.0,450.0,28/11/2023
Tunis,Ain Zaghouan,Ain Zaghouan,Rental,3-room apartment,150.0,2200.0,17/11/2023
Nabeul,Hammamet,Hammamet,Sale,Houses,397.0,900000.0,28/09/2022
Nabeul,Hammamet,Hammamet,Sale,3-room apartment,200.0,780000.0,02/12/2023
Tunis,La Marsa,La Marsa,Rental,Houses,400.0,8000.0,10/10/2022
Nabeul,Hammamet,Hammamet,Rental,4-room apartment,160.0,2300.0,27/10/2023
Sfax,Sfax Ville,Sfax Ville,Sale,Houses,556.0,1200000.0,12/09/2023
Nabeul,Hammamet,Hammamet,Sale,Houses,280.0,850000.0,25/10/2023
Ariana,La Soukra,La Soukra,Rental,3-room apartment,150.0,900.0,27/11/2023
Ben arous,Ben Arous,Ben Arous,Rental,3-room apartment,90.0,350.0,03/11/2023
Nabeul,Beni Khalled,Beni Khalled,Land,Vacant land,8000.0,560000.0,05/12/2023
Tunis,Ain Zaghouan,Ain Zaghouan,Sale,Duplex,1.0,1800000.0,27/10/2023
Tunis,La Marsa,La Marsa,Rental,3-room apartment,130.0,3750.0,17/11/2023
Ariana,La Soukra,La Soukra,Sale,Houses,550.0,950000.0,17/09/2023
Zaghouan,Zaghouan,Zaghouan,Land,Agricultural land,170000.0,476000.0,27/09/2023
Nabeul,Hammam El Ghezaz,Hammam El Ghezaz,Sale,Houses,357.0,500000.0,21/10/2023
Nabeul,Hammamet,Hammamet,Sale,2-room apartment,118.0,360000.0,29/11/2022
